"review_text","review_stars","review_auth_id","review_date"
"I came with a friend for dinner because I always see article about your restaurant but never got the time to come over ! What a desappointement !! OMG your chef need seriously review is standard and the quality . My salad have 2 sardines from a teen and no seasoning, the halibut no seasoning and the saffron sauce was...
Ещё ","1 из 5 кружков","4DC6BF8131865133853F51FB1B9ED204","Отзыв написан 10 февраля 2017"
"I have frequented this restaurant for fifteen years, and it remains one of the most consistently fine western restaurants in Beijing. It is the go-to western restaurant for a business lunch in the CBD, and the dinner menu is varied, reliable and properly presented servig a mixed crowd of hotel guests and local Chinese and expatriates. I highly recommend this...
Ещё ","4 из 5 кружков","41FDBA2CEEF5FDBFB5EF64F6662488C9","Отзыв написан 6 декабря 2016"
"Not easy anywhere in China to get quality imported wine at a reasonable price, so it was a real surprise to see a short and focused winelist and a super selection of wines by glass, including Dr. Loosen and Donnhoff from Germany, Pascal Jolivet from France and the iconic Cloudy Bay. Glasses were of excellent quality, service from the very...
Ещё ","4 из 5 кружков","486A0F20AF059D958F170FFAFE4EFAFC","Отзыв написан 13 ноября 2016"
"Aria has all it takes to favorably impress your Chinese collegue or client, and at the same time you are 100% in your comfort zone with knives and forks and spoons, fine wine, sufficient but not extremely heavy dishes, soft music, 5*staff and really good seats. A two hour lunch is well within reach if you slow down the efficient...
Ещё ","5 из 5 кружков","79A51D9D0B7F9FC84A0265E4350FBDD9","Отзыв написан 12 ноября 2016"
"I went there during a busy lunch time. The service was so, so. They forgot to bring the bread and the napkin. Food is average. I had higher expectations since it is a restaurant belonging to the 5* hotel, China World (Shangri La)","3 из 5 кружков","2E1DD600CE87C17B3C9F62743FDE37E0","Отзыв написан 24 сентября 2016"
"We went for lunch at the bar and order the squid ink pasta<U+3002>The set with one side dish salad and soft drink costs 99 RMB Net. The salad was ok BUT the pasta is not. Firstly the pasta is OVERCOOKED and somehow not enough spices. No second time for me!","2 из 5 кружков","9BFE1A91DFB9405DF5F82649F86FD08B","Отзыв написан 20 сентября 2016"
"The Aria bar never changes, at least not the last 8 years. Knowledgable bar tenders, friendly waitresses. Some of them even speak a bit of English. An outside seating was offered this hot fall. Notably the complimentary nuts were downgraded, possible reflecting a new economic reality? Prices did not change much, decent cocktail at 80 RMB.","3 из 5 кружков","58766AC30AD7D07D704DDC8C17A1977F","Отзыв написан 17 сентября 2016"
"Visit as part of a large business group. The restaurant has a nice layout, service is fast and friendly.I got a seafood starter, sirloin and chocolate cake. Regrettably the food was not well prepared and completely uninspiring. The restaurant has deep and expensive wine list - to put the food in second row ?! Not sure if the menu contain...
Ещё ","2 из 5 кружков","91FC457E63D40EF2F75FAB6955083226","Отзыв написан 18 февраля 2016"
"The Aria is the breakfast restaurant for the hotel guests that are not in the Horizon club. Breakfast is good (not brilliant) but as a la carter lunch place there is no sense and that seems to influence staff as well. One would have hoped that moving the brilliant Adaman Japanese restaurant out to the new tower there is old...
Ещё ","3 из 5 кружков","58766AC30AD7D07D704DDC8C17A1977F","Отзыв написан 16 января 2016"
"visited the restaurant on a Sunday night 18:30, no other customers and we wanted a quick meal. The service is good and quick but the food was disappointing. Lot if items were not available and we kept changing a few times back and forward. My friend had the sirloin which was tough too eat, really chewy and also the side...
Ещё ","3 из 5 кружков","F0A6CA406B147BB55FAFEB9A3F7FCDD0","Отзыв написан 16 января 2016"
