"review_text","review_stars","review_auth_id","review_date"
"Out of the hustle & bustle of Beijing yet so very close ! Not cheap however some well priced set lunches ... The food is all western style , the service is great , delicious food , and the grounds so so beautiful orchards and a big lake to walk arround ! They are children friendly with a little play...
Ещё ","5 из 5 кружков","1B10AED32A5AEF72FF2EB9FDDCC46C21","Отзыв написан 1 февраля 2017"
"A fun lunch with friends during the week. We had the set menu lunch and everything we had was great.","4 из 5 кружков","A18D51A4A046D6F6A4E8946A828E18FE","Отзыв написан 19 октября 2016"
"Lovely setting .......delicious food and plenty of dishes to choose from for Sunday Brunch. From noon til 3pm you can eat and drink as much as you want for a reasonable price. Children are welcome and can go into a separate room or play in the garden. Nice stroll around lily ponds too.","4 из 5 кружков","7CC18356A4CCB6C80909469E9395DF14","Отзыв написан 19 октября 2016"
"Difficult to find but worth persevering. Beautiful building in lovely setting with the restaurant approached over a bridge across a carp filled lake. Although very busy with a large wedding party the service was excellent.The food was good with very hearty portions. One of our party had the pig's knuckle which he would recommend and the salads were also good....
Ещё ","4 из 5 кружков","B6A223820D2A81A1B0C2088B7D48373D","Отзыв написан 10 октября 2016"
"I love the brunch here but I've also eaten dinner - the food is excellent and the location is beautiful. While it's in the middle of everything it feels like you're off the beaten path. As a self proclaimed ""professional bruncher"" this is by far my favorite brunch in Beijing because it's a fantastic value. 255RMB for all you can...
Ещё ","5 из 5 кружков","DDA13E1F44B29E1262721D91879E8657","Отзыв написан 4 октября 2016"
"Had a lovely brunch buffet at The Orchard. Surroundings are wonderful, it's like a little oasis within Beijing. Perfect place to catch up with friends on a Sunday afternoon.","5 из 5 кружков","AC669FD9F2BDB624224F98FB23FB442A","Отзыв написан 26 сентября 2016"
"We went there many times, mostly to take out of town guests for a special treat. Their food was very good and comforting. Brunch was plentiful. Make time to stroll around the garden and the lake. The place was huge and with nice decor. They rent out the place for events as well, and the 2 times we went, the...
Ещё ","5 из 5 кружков","FDD19EEE3B4C7943F03F07E4F2FC53A3","Отзыв написан 28 июня 2016"
"Great place to host guests visiting Beijing who want a ""different"" experience. A bit lf a long drive with Beijing traffic but worth the drive. Good service in a great atmosphere. Food was well prepared and presented with lots of choices.","4 из 5 кружков","91D4FDF0FCB0826BF4CF15A4EBEA8972","Отзыв написан 27 июня 2016"
"I've been here for their (locally) famous brunch, for lunch and for dinner. Lovely atmosphere and gardens. Food is very good. Their well-known for their Sunday brunch (you'll need reservations. Seating begins at 11:30, but they won't let eat until noon).","4 из 5 кружков","A59FC7D0C66A0CC803F7B56E929512AA","Отзыв написан 22 июня 2016"
"Went here with a group of 7 and really enjoyed it. Apparently they grow all their own vegetables and some of the party had a very nice greek salad. Lots of various steaks on the menu and I had the special Kobi like steak. It was good but not great. Not sure I would make the relatively long drive to...
Ещё ","4 из 5 кружков","917AB6D21C8869CD5B28A1195332A9BC","Отзыв написан 12 июня 2016"
"It's alright, I'd say. The vicinity is excellent, and much to do. I last visited it three years ago, and I'm sure that it's still a very special place.","4 из 5 кружков","ADC43C80B83D5C6B48286137B27415E2","Отзыв написан 6 июня 2016"
"Went there with a group of friends. It has a quiet and beautiful lake. My 2-year son was just thrilled when he saw several really big frogs swimming in the lake.The food was quite homey so it would not be a good choice if you are after for fine dining however the food was really tasty and reasonably priced. I...
Ещё ","4 из 5 кружков","08178BE9E859C2CB74D54F26AD5F58AA","Отзыв написан 2 июня 2016"
"I lived in Beijing for five years from 5 years old to 10 and it was one of my favourite restaurants in the country. Every year on Easter, my family and I would go for the easter egg hunt. It was so fun! There was a golden egg and baskets were provided several prizes of chocolate and candy was given...
Ещё ","5 из 5 кружков","C09123782F5F4B9973577D5E02EC98C9","Отзыв написан 29 мая 2016"
"This place is an oasis in Beijing. Renowned for its Sunday brunch (which you need to book a week in advance to guarantee a table) and stunning gardens. Great for private functions or for a romantic dinner. A bit out of town so allow 45-60 minutes travel time from downtown especially at peak traffic times. Children will love the gardens....
Ещё ","5 из 5 кружков","4640172B3590C9C171C3F3EC34720007","Отзыв написан 19 мая 2016"
"Nice place with excellent service. The food was well prepared and as expected, served on heated plates. We tried pumpkin...
Ещё ","5 из 5 кружков","7D8F66DCE339D9CF0CD6ABCD89445121","Отзыв написан 28 февраля 2016"
