"","word"
"257","可"
"258","可以"
"259","可是"
"260","可见"
"261","各"
"262","各个"
"263","各位"
"264","各种"
"265","各自"
"266","同"
"267","同时"
"268","后"
"269","后者"
"270","向"
"271","向使"
"272","向着"
"273","吓"
"274","吗"
"275","否则"
"276","吧"
"277","吧哒"
"278","含"
"279","吱"
"280","呀"
"281","呃"
"282","呕"
"283","呗"
"284","呜"
"285","呜呼"
"286","呢"
"287","呵"
"288","呵呵"
"289","呸"
"290","呼哧"
"291","咋"
"292","和"
"293","咚"
"294","咦"
"295","咧"
"296","咱"
"297","咱们"
"298","咳"
"299","哇"
"300","哈"
"301","哈哈"
"302","哉"
"303","哎"
"304","哎呀"
"305","哎哟"
"306","哗"
"307","哟"
"308","哦"
"309","哩"
"310","哪"
"311","哪个"
"312","哪些"
"313","哪儿"
"314","哪天"
"315","哪年"
"316","哪怕"
"317","哪样"
"318","哪边"
"319","哪里"
"320","哼"
"321","哼唷"
"322","唉"
"323","唯有"
"324","啊"
"325","啐"
"326","啥"
"327","啦"
"328","啪达"
"329","啷当"
"330","喂"
"331","喏"
"332","喔唷"
"333","喽"
"334","嗡"
"335","嗡嗡"
"336","嗬"
"337","嗯"
"338","嗳"
"339","嘎"
"340","嘎登"
"341","嘘"
"342","嘛"
"343","嘻"
"344","嘿"
"345","嘿嘿"
"346","四"
"347","因"
"348","因为"
"349","因了"
"350","因此"
"351","因着"
"352","因而"
"353","固然"
"354","在"
"355","在下"
"356","在于"
"357","地"
"358","基于"
"359","处在"
"360","多"
"361","多么"
"362","多少"
"363","大"
"364","大家"
"365","她"
"366","她们"
"367","好"
"368","如"
"369","如上"
"370","如上所述"
"371","如下"
"372","如何"
"373","如其"
"374","如同"
"375","如是"
"376","如果"
"377","如此"
"378","如若"
"379","始而"
"380","孰料"
"381","孰知"
"382","宁"
"383","宁可"
"384","宁愿"
"385","宁肯"
"386","它"
"387","它们"
"388","对"
"389","对于"
"390","对待"
"391","对方"
"392","对比"
"393","将"
"394","小"
"395","尔"
"396","尔后"
"397","尔尔"
"398","尚且"
"399","就"
"400","就是"
"401","就是了"
"402","就是说"
"403","就算"
"404","就要"
"405","尽"
"406","尽管"
"407","尽管如此"
"408","岂但"
"409","己"
"410","已"
"411","已矣"
"412","巴"
"413","巴巴"
"414","年"
"415","并"
"416","并且"
"417","庶乎"
"418","庶几"
"419","开外"
"420","开始"
"421","归"
"422","归齐"
"423","当"
"424","当地"
"425","当然"
"426","当着"
"427","彼"
"428","彼时"
"429","彼此"
"430","往"
"431","待"
"432","很"
"433","得"
"434","得了"
"435","怎"
"436","怎么"
"437","怎么办"
"438","怎么样"
"439","怎奈"
"440","怎样"
"441","总之"
"442","总的来看"
"443","总的来说"
"444","总的说来"
"445","总而言之"
"446","恰恰相反"
"447","您"
"448","惟其"
"449","慢说"
"450","我"
"451","我们"
"452","或"
"453","或则"
"454","或是"
"455","或曰"
"456","或者"
"457","截至"
"458","所"
"459","所以"
"460","所在"
"461","所幸"
"462","所有"
"463","才"
"464","才能"
"465","打"
"466","打从"
"467","把"
"468","抑或"
"469","拿"
"470","按"
"471","按照"
"472","换句话说"
"473","换言之"
"474","据"
"475","据此"
"476","接着"
"477","故"
"478","故此"
"479","故而"
"480","旁人"
"481","无"
"482","无宁"
"483","无论"
"484","既"
"485","既往"
"486","既是"
"487","既然"
"488","日"
"489","时"
"490","时候"
"491","是"
"492","是以"
"493","是的"
"494","更"
"495","曾"
"496","替"
"497","替代"
"498","最"
"499","月"
"500","有"
